title,year,id,type,watched_at
Bye Bye Birdie,1963,14370,movie,
Cactus Flower,1969,25361,movie,
Caddyshack,1980,9015,movie,
Camel Spiders,2012,295987,movie,
Can't Hardly Wait,1998,13365,movie,
Candleshoe,1977,14528,movie,
Cannibal Apocalypse,1981,3370896,movie,
Capote,2005,140569,movie,
Captain America: Brave New World,2025,3946124,movie,
Captain America: Civil War,2016,744550,movie,
Captain America: The First Avenger,2011,195891,movie,
Captain America: The Winter Soldier,2014,519662,movie,
Captain Marvel,2019,1009797,movie,
Captain Phillips,2013,478735,movie,
Care Bears Movie 2: A New Generation,1986,31586,movie,
Career Opportunities,1991,4876,movie,
Cars,2006,64896,movie,
Cars 2,2011,185586,movie,
Cars 3,2017,864678,movie,
Casablanca,1942,10969,movie,
Casino Royale,2006,68721,movie,
Casper,1995,5376,movie,
Cast Away,2000,7928,movie,
Casting Crowns: Home By Sunday,2023,2743235,movie,
Casualties of War,1989,23717,movie,
Cat Ballou,1965,16532,movie,
Catch Me if You Can,2002,32708,movie,
Catch Me If You Can / The Terminal  Double Feature (Bundle),,882318,movie,
Catch the Bullet,2021,1829674,movie,
Catfish,2010,184128,movie,
Cats and Dogs,2001,9537,movie,
Cats and Dogs 3: Paws Unite,2020,1431812,movie,
Cats and Dogs: The Revenge of Kitty Galore,2010,175227,movie,
Celebrating Mickey,2018,1003761,movie,
Cell,2016,774635,movie,
Chainsaw Man - The Movie: Reze Arc,2025,4767699,movie,
Champions,2023,2304341,movie,
Changing Lanes,2002,27652,movie,
Chaos,2007,130415,movie,
Chaos Walking,2021,1655563,movie,
Chappie,2015,645628,movie,
Charlie and the Chocolate Factory,2005,10933,movie,
Charlie's Angels,2000,20634,movie,
Charlie's Angels: Full Throttle,2003,35940,movie,
Charlotte's Web (1973),1973,21782,movie,
Charlotte's Web (2006),2006,69840,movie,
Cheaper By the Dozen,2003,8658,movie,
Cheech and Chong's Up in Smoke,1978,16891,movie,
Chicken Little,2005,130838,movie,
Chicken Run,2000,16922,movie,
Children of the Damned,1964,75104,movie,
China Girl,1987,75140,movie,
Chinatown,1974,14814,movie,
Chitty Chitty Bang Bang,1968,13367,movie,
Chonda Pierce: Unashamed,2019,1419349,movie,
Christine,1983,14371,movie,
Christmas with the Kranks,2004,46288,movie,
Christopher Robin,2018,935650,movie,
Cinderella (2015),2015,645642,movie,
Cinderella (The Walt Disney Signature Collection),1950,1143176,movie,
Cinderella 2: Dreams Come True,2002,24441,movie,
Cinderella 3: A Twist in Time,2007,66482,movie,
Cinderfella,1960,42917,movie,
Circus of Horrors,1960,1192454,movie,
Cirque du Soleil: Worlds Away,2012,396332,movie,
Citizen Kane,1941,31793,movie,
City of Angels,1998,9162,movie,
City Slickers,1991,21427,movie,
Civil War,2024,3072715,movie,
Class Of 1999,1990,75424,movie,
Clear and Present Danger,1994,13368,movie,
Click,2006,64626,movie,
Cliffhanger,1993,12407,movie,
Close Encounters of the Third Kind (Special Edition),1980,899948,movie,
Cloud Atlas,2012,382055,movie,
Cloudy with a Chance of Meatballs,2009,168536,movie,
Cloudy With a Chance of Meatballs 2,2013,469875,movie,
Cloverfield,2008,132071,movie,
Clue,1985,16075,movie,
Clueless,1995,140063,movie,
Coach Carter,2005,49879,movie,
Cobra,1986,9099,movie,
Cocaine Bear,2023,2286118,movie,
Cocaine Shark,2023,2338052,movie,
Coco,2017,857016,movie,
Collateral,2004,44470,movie,
Collision Earth,2012,391289,movie,
Colombiana,2011,198319,movie,
Comanche Station,1960,1642679,movie,
Conan The Barbarian,2011,194581,movie,
Concussion,2015,715137,movie,
Congo,1995,14398,movie,
Conspiracy Theory,1997,9082,movie,
Constantine,2005,10682,movie,
Contagion,2011,211945,movie,
Cool Hand Luke,1967,9019,movie,
Cool Runnings,1993,14177,movie,
Coraline,2009,162088,movie,
Couples Retreat,2009,168073,movie,
Courageous,2011,289744,movie,
Crank,2006,6974,movie,
Crash,2005,6874,movie,
Crawl,2019,1163713,movie,
Crazy Rich Asians,2018,976882,movie,
"Crazy, Stupid, Love",2011,198368,movie,
Creature from the Black Lagoon,1954,5035,movie,
Creed,2015,728867,movie,
Creed II,2018,1014699,movie,
Creed III,2023,2296127,movie,
Crimson Tide,1995,12719,movie,
Crocodile Dundee,1986,22880,movie,
Crocodile Dundee 2,1988,22891,movie,
Crocodile Dundee in Los Angeles,2001,22881,movie,
Crocodile Dundee Trilogy (Bundle),,565323,movie,
Cruella,2021,1783507,movie,
Cube,1998,6520,movie,
Cujo,1983,16208,movie,
Curly Top,1935,8499,movie,
Cutter's Way,1981,140614,movie,
Cyrano,2022,1997813,movie,
Daddy Day Camp,2007,129057,movie,
Daddy's Home,2015,735161,movie,
Daddy's Home 1 & 2 (Bundle),,902344,movie,
Daddy's Home 2,2017,902341,movie,
Daffy Duck's Movie: Fantastic Island,1983,220927,movie,
Daffy Duck: Quackbusters,1988,76589,movie,
Damaged,2024,2983931,movie,
Dangerous Minds,1995,14167,movie,
Darby O'Gill and the Little People,1959,39997,movie,
Daredevil (Theatrical),2003,8125,movie,
Darkman,1990,4800,movie,
Das Boot (The Director's Cut),1985,12923,movie,
Dave,1993,9130,movie,
David,2025,4806892,movie,
Dawn of the Planet of the Apes,2014,542002,movie,
Daylight,1996,4953,movie,
Days of Thunder,1990,14044,movie,
DC Films Presents: The Dawn of The Justice League (featurette),2016,758435,movie,
DC League of Super-Pets,2022,2083672,movie,
De-Lovely,2004,140683,movie,
Dead End,1937,1468779,movie,
Dead Man Walking,1995,140679,movie,
Dead Man's Hand,2023,2334225,movie,
Dead Over Heels: An Aurora Teagarden Mystery,2021,1617391,movie,
Deadfall,1993,6910,movie,
Deadpool,2016,741622,movie,
Deadpool & Wolverine,2024,3121552,movie,
Deadpool 2,2018,928314,movie,
Dean Martin + Jerry Lewis 8-Movie Collection (Bundle),,1600767,movie,
Death of a Unicorn,2025,4044698,movie,
Death on the Nile,2022,2003699,movie,
Death Race (Theatrical),2008,142057,movie,
Death Rides a Horse,1967,140959,movie,
Death Wish,1974,20164,movie,
Deepwater Horizon,2016,784461,movie,
"Definitely, Maybe",2008,133147,movie,
Deliver Us From Eva,2003,5322,movie,
Demolition Man,1993,9100,movie,
Den of Thieves,2018,910340,movie,
Den of Thieves 2: Pantera,2025,3820998,movie,
Desperado,1995,12411,movie,
Desperate Riders,2022,1956077,movie,
Despicable Me,2010,168654,movie,
Despicable Me 2,2013,452762,movie,
Despicable Me 3,2017,851307,movie,
Despicable Me 4,2024,3144070,movie,
Devotion,2022,2189648,movie,
Diamonds Are Forever,1971,16646,movie,
Diary of a Mad Black Woman,2005,6758,movie,
Diary of a Wimpy Kid,2010,175778,movie,
Diary of a Wimpy Kid 1-4 Collection (Bundle),,884098,movie,
Diary of a Wimpy Kid 2: Rodrick Rules,2011,191568,movie,
Diary of a Wimpy Kid: Dog Days,2012,358090,movie,
Diary of a Wimpy Kid: The Long Haul,2017,853448,movie,
Dick,1999,14771,movie,
Die Another Day,2002,32951,movie,
Die Hard,1988,7652,movie,
Die Hard 2: Die Harder,1990,7653,movie,
Die Hard With a Vengeance,1995,7654,movie,
Dinocroc vs. Supergator,2010,204636,movie,
Dinosaur,2000,19672,movie,
Dinoshark,2010,194269,movie,
Dirty Dancing,1987,6981,movie,
Dirty Grandpa,2016,740675,movie,
Dirty Harry,1971,9021,movie,
District 9,2009,167965,movie,
Divergent,2014,512075,movie,
Divergent (plus bonus features),,525077,movie,
Doc Hollywood,1991,9151,movie,
Doctor Strange,2016,824903,movie,
Doctor Strange in the Multiverse of Madness,2022,2028166,movie,
Doctor Zhivago,1965,9554,movie,
Dodsworth,1936,4755542,movie,
Dog,2022,1996430,movie,
Dog Man,2025,3931888,movie,
Dolphin Tale,2011,198378,movie,
Dolphin Tale / March of the Penguins Double Feature (Bundle),,440174,movie,
Dr. Dolittle,1998,7962,movie,
Dr. Dolittle 2,2001,7956,movie,
Dr. Dolittle 3,2006,8751,movie,
Dr. Dolittle: Tail to the Chief,2008,179550,movie,
Dr. No,1962,12588,movie,
Dr. Seuss' How the Grinch Stole Christmas,2000,5193,movie,
Dr. Seuss' The Cat in the Hat,2003,5453,movie,
Dr. Seuss' The Grinch,2018,935656,movie,
Dr. Seuss' The Lorax,2012,304926,movie,
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,12412,movie,
Dr. T and the Women,2000,7094,movie,
Dracula: Dead and Loving It,1995,41122,movie,
Dragon Lord,1982,1847013,movie,
Dragons Forever,1988,2727707,movie,
Dredd,2012,369576,movie,
Drive Angry,2011,185748,movie,
Drop,2025,4097236,movie,
DuckTales: The Movie - Treasure of the Lost Lamp,1990,78218,movie,
Dumb and Dumber,1994,12413,movie,
Dumb and Dumber (Unrated),1994,646225,movie,
Dumb Money,2023,2665066,movie,
Dumbo,2019,1085773,movie,
Dumbo,1941,22321,movie,
Dune,2021,1729967,movie,
Dune: Part Two,2024,3031334,movie,
Dungeons & Dragons: Honor Among Thieves,2023,2303302,movie,
Dunkirk,2017,851343,movie,
Dying of the Light,2014,623935,movie,
E.T. The Extra-Terrestrial,1982,5732,movie,
Eagle Eye,2008,142809,movie,
Earth Girls Are Easy,1989,7161,movie,
Earth's Final Hours,2012,418765,movie,
Earthfall,2015,684919,movie,
"Easy Come, Easy Go",1967,30662,movie,
Easy Rider,1969,14867,movie,
Edward Scissorhands,1990,8642,movie,
Eight Below,2006,61242,movie,
El Mariachi,1993,34664,movie,
Elemental,2023,2470118,movie,
Elevation,2024,3594821,movie,
Elf,2003,42157,movie,
Elio,2025,4429907,movie,
Elvis,2022,2047382,movie,
Elysium,2013,464748,movie,
Empire of the Sun,1987,9514,movie,
Empire State,2013,451468,movie,
Empire State/Snitch Double Feature (Bundle),,1458962,movie,
Employee of the Month,2006,68177,movie,
Encanto,2021,1966331,movie,
Encino Man,1992,14198,movie,
End of Days,1999,5863,movie,
Endless Night,1972,3995133,movie,
Enemy of the State,1998,141256,movie,
Enough,2002,28884,movie,
Entrapment,1999,7697,movie,
Epic,2013,440633,movie,
Equilibrium,2002,32275,movie,
Erin Brockovich,2000,5038,movie,
Escape from Alcatraz,1979,13856,movie,
Escape from L.A.,1996,13542,movie,
Escape Plan,2013,473028,movie,
Escape Plan 2: Hades,2018,951837,movie,
Escape Plan Triple Feature (Bundle),,1174755,movie,
Escape Plan: The Extractors,2019,1158861,movie,
Escape to Witch Mountain,1975,34535,movie,
Eternals,2021,1907638,movie,
Evan Almighty,2007,128906,movie,
Eve's Bayou,1997,6510,movie,
Everything Everywhere All at Once,2022,2009268,movie,
Executive Decision,1996,9026,movie,
Exodus,1960,140713,movie,
Extreme Prejudice,1987,7101,movie,
Eye in the Sky,2016,747834,movie,
Eye of the Needle,1981,140714,movie,
F1: The Movie,2025,4240175,movie,
F9: The Fast Saga,2021,1768500,movie,
Face/Off,1997,13127,movie,
Fail-Safe,1964,16601,movie,
Failure to Launch,2006,62387,movie,
Fall,2022,2067973,movie,
Falling Down,1993,9303,movie,
Family Guy: Blue Harvest,2007,130302,movie,
Family Guy: It's a Trap!,2010,184121,movie,
"Family Guy: Something, Something, Something Dark Side",2009,172519,movie,
Family Plot,1976,5807,movie,
Fanboys,2009,145359,movie,
Fantasia,1940,16848,movie,
Fantasia 2000,1999,16870,movie,
Fantastic Beasts and Where to Find Them,2016,821902,movie,
Fantastic Beasts: The Crimes of Grindelwald,2018,1014702,movie,
Fantastic Beasts: The Secrets of Dumbledore,2022,2011402,movie,
Fantastic Four,2005,8930,movie,
Fargo,1996,12414,movie,
Fast & Furious,2009,162094,movie,
Fast & Furious 6 (Extended Version),2013,488348,movie,
Fast & Furious Presents: Hobbs & Shaw,2019,1142073,movie,
Fast And Furious (1-4) Collection (Bundle),,586570,movie,
Fast Five (Extended Version),2011,214036,movie,
Fast X,2023,2393990,movie,
Fat City,1972,29626,movie,
Father Stu,2022,2019842,movie,
Fatherhood,2021,2030166,movie,
Fatman,2020,1521213,movie,
Feast (Unrated),2006,65011,movie,
Ferdinand,2017,858263,movie,
Ferris Bueller's Day Off,1986,14819,movie,
Field of Dreams,1989,5930,movie,
Fighting With My Family,2019,1069338,movie,
Finding Dory,2016,778325,movie,
Finding Nemo,2003,35597,movie,
Finding Neverland,2004,46426,movie,
